date,correlation,density,network_protocols,network_pairs,residual_correlation,residual_density,residual_network_protocols,residual_network_pairs,stablecoin_supply_usd,stablecoin_supply_log_flow,equal_weight_available,lagged_tvl_weighted,capped_lagged_tvl_weighted,category_balanced,retrospective_common_history,stablecoin_contraction,volatility,breadth,tvl_momentum,residual_volatility,residual_breadth,residual_equal_weight_return,eth_log_return,forward_return,label
2022-06-09,0.550438374833724,0.7333333333333333,6,15,0.19041173809330553,0.2,5,10,159078010669.0,-0.0001850095761447,0.009735376243668834,0.006395949923029337,0.00678843799371749,0.008996411425230829,0.009735376243668834,0.0074285479154311785,0.04897413496674466,0.5,-0.026004031606857034,0.030773935948418256,0.4,0.021598744878732718,-0.0135430567326408,-0.3457540367652177,1.0
2022-06-10,0.5508760097344817,0.7333333333333333,6,15,0.1909746349890622,0.2,5,10,159146853848.0,0.0004326700251941,-8.227154768198354e-05,-0.0030813977593156464,-0.0030942878030265036,0.00014520206455773945,-8.227154768198361e-05,0.0015140289689223783,0.04897492696812883,0.6666666666666666,-0.0031394430919366475,0.030196082457741996,0.4,-0.00018374685564670088,-0.0034169226185368,-0.40285885269735705,1.0
2022-06-11,0.5553713981582652,0.7333333333333333,6,15,0.18588832877243416,0.1,5,10,158697485989.0,-0.0028275989349602,-0.06389934954203709,-0.06664579982332783,-0.06699793552588058,-0.06465428834540236,-0.06389934954203709,0.004280218417676382,0.03648012571633482,1.0,0.05465182482919277,0.020088323605022714,0.4,-0.016037277770808222,-0.0722007816518598,-0.3254539744167089,1.0
2022-06-12,0.5574196138408922,0.7333333333333333,6,15,0.18553603380502323,0.1,5,10,158416739423.0,-0.0017706341554605,-0.05046809579972875,-0.054248868007631755,-0.054397841695140545,-0.050003715842324103,-0.050468095799728746,0.005675592030407282,0.028690409608939656,1.0,0.0962817291448523,0.013197752597163121,0.2,0.003573252862912879,-0.0838378335881537,-0.33615084369752596,1.0
2022-06-13,0.5575229146074435,0.7333333333333333,6,15,0.18542748078998503,0.1,5,10,158139729196.0,-0.001750147762993,-0.04180773933311136,-0.039913016025100605,-0.04058114667764091,-0.04221010415169672,-0.041807739333111375,0.007493588792476499,0.029584110593491624,1.0,0.14415759920138693,0.012704380767282232,0.6,3.815836401707615e-05,-0.0591629105176239,-0.2555206350383629,1.0
2022-06-14,0.5984687835858724,0.8,6,15,0.18292352747939877,0.1,5,10,156870816044.0,-0.0080563653147684,-0.1438361241218659,-0.12439818272522606,-0.12625549568104474,-0.14966264280918778,-0.1438361241218659,0.0148918359582102,0.03905402277327355,1.0,0.28677904237241925,0.011940585097916043,0.4,0.0036876835528286385,-0.1791566068645617,-0.09645762284838717,1.0
2022-06-15,0.5944050071775976,0.7333333333333333,6,15,0.19045897552470797,0.1,5,10,155935668777.0,-0.0059790963314671,-0.03799157672252045,-0.03631237468036493,-0.03812998025413205,-0.03616626807755103,-0.03799157672252045,0.020136182050599798,0.0386456645358616,0.8333333333333334,0.3283497808232767,0.014425337814664558,1.0,-0.04262058487092306,0.0067472509552972,-0.05256792214308839,1.0
2022-06-16,0.5915068527814772,0.7333333333333333,6,15,0.19033659782039591,0.1,5,10,155143029661.0,-0.0050960791297117,-0.0076688796982722,-0.004000892649905271,-0.0049023577087518345,-0.007444064385731291,-0.0076688796982722005,0.0250472516041668,0.03852012301072746,0.5,0.34575403676521776,0.015004873878706831,0.8333333333333334,-0.027508512596980773,0.018066272280909,-0.05787538885728074,1.0
2022-06-17,0.5890041051821022,0.7333333333333333,6,15,0.21806133937238323,0.1,5,10,154643688106.0,-0.0032237791927321,-0.0571870874798213,-0.06713734151145777,-0.0672436162614595,-0.06302896834516974,-0.0571870874798213,0.028703700822092997,0.038827715003896895,1.0,0.40285885269735705,0.017807417947209643,0.0,0.05147476034840525,-0.1454342551832686,0.0319452894014122,0.0
2022-06-18,0.5862523789867513,0.7333333333333333,6,15,0.21920882032077177,0.1,5,10,154095812453.0,-0.0035491165018089,0.01350552873861107,0.01528533968889433,0.013489916469818654,0.014509927507498889,0.013505528738611066,0.029425218388941698,0.03855796310978942,0.3333333333333333,0.32545397441670887,0.017792279234266867,0.5,-0.005165805353765755,0.0174490476209192,0.04595782149542836,0.0
